tune,record_type,prior_canonical_hash,new_canonical_hash,status
Walls of Time,progression normalization,6963a7c2196cbb2e5f029434e4c94675a4e2baa6bb9531d10ac86c7c8deeb4c4,d812741df1b99a71ebeaecc8fa08d3e0d8a8d25dfd9424e89b987a9e1a633232,STALE_REQUIRES_REGENERATION
Walls of Time,measure references,6963a7c2196cbb2e5f029434e4c94675a4e2baa6bb9531d10ac86c7c8deeb4c4,d812741df1b99a71ebeaecc8fa08d3e0d8a8d25dfd9424e89b987a9e1a633232,STALE_REQUIRES_REGENERATION
Walls of Time,opportunity windows,6963a7c2196cbb2e5f029434e4c94675a4e2baa6bb9531d10ac86c7c8deeb4c4,d812741df1b99a71ebeaecc8fa08d3e0d8a8d25dfd9424e89b987a9e1a633232,STALE_REQUIRES_REGENERATION
Walls of Time,BH-5432 placements,6963a7c2196cbb2e5f029434e4c94675a4e2baa6bb9531d10ac86c7c8deeb4c4,d812741df1b99a71ebeaecc8fa08d3e0d8a8d25dfd9424e89b987a9e1a633232,STALE_REQUIRES_REGENERATION
Walls of Time,BH-Traversal placements,6963a7c2196cbb2e5f029434e4c94675a4e2baa6bb9531d10ac86c7c8deeb4c4,d812741df1b99a71ebeaecc8fa08d3e0d8a8d25dfd9424e89b987a9e1a633232,STALE_REQUIRES_REGENERATION
Walls of Time,chord-change timing,6963a7c2196cbb2e5f029434e4c94675a4e2baa6bb9531d10ac86c7c8deeb4c4,d812741df1b99a71ebeaecc8fa08d3e0d8a8d25dfd9424e89b987a9e1a633232,STALE_REQUIRES_REGENERATION
Walls of Time,capo interpretation,6963a7c2196cbb2e5f029434e4c94675a4e2baa6bb9531d10ac86c7c8deeb4c4,d812741df1b99a71ebeaecc8fa08d3e0d8a8d25dfd9424e89b987a9e1a633232,STALE_REQUIRES_REGENERATION
Walls of Time,physical-fret analysis,6963a7c2196cbb2e5f029434e4c94675a4e2baa6bb9531d10ac86c7c8deeb4c4,d812741df1b99a71ebeaecc8fa08d3e0d8a8d25dfd9424e89b987a9e1a633232,STALE_REQUIRES_REGENERATION
Walls of Time,entry/exit timing,6963a7c2196cbb2e5f029434e4c94675a4e2baa6bb9531d10ac86c7c8deeb4c4,d812741df1b99a71ebeaecc8fa08d3e0d8a8d25dfd9424e89b987a9e1a633232,STALE_REQUIRES_REGENERATION
Walls of Time,backing-track synchronization,6963a7c2196cbb2e5f029434e4c94675a4e2baa6bb9531d10ac86c7c8deeb4c4,d812741df1b99a71ebeaecc8fa08d3e0d8a8d25dfd9424e89b987a9e1a633232,STALE_REQUIRES_REGENERATION
