title,key_name,primary_treatment,moment_index,chord,degree,functional_bucket,recommended_treatment,confidence,rationale
swing_51,A,teal,0,Dm9,IV,subdominant,teal,0.78,subdominant plateau leaves room for extension climbing
swing_51,A,teal,1,G13,bVII,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,2,Fmaj7,bVI,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,3,Bb7,bII,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,4,A7,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
swing_51,A,teal,5,Bm7,II,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,6,C6/9,bIII,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,7,E9,V,dominant,pink,0.94,dominant chord invites tension / superimposed color | direct V→I cadence makes pink tension especially useful
swing_51,A,teal,8,A11,I,tonic,teal,0.92,tonic stability supports teal extension framing and melodic climbing | post-cadential tonic is a strong teal arrival zone
swing_51,A,teal,9,A,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
swing_51,A,teal,10,Dm9,IV,subdominant,teal,0.78,subdominant plateau leaves room for extension climbing
swing_51,A,teal,11,G13,bVII,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,12,Fmaj7,bVI,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,13,Bb7,bII,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,14,Dm9,IV,subdominant,teal,0.78,subdominant plateau leaves room for extension climbing
swing_51,A,teal,15,G13,bVII,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,16,A7,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
swing_51,A,teal,17,B,II,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,18,Bm7,II,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,19,C6/9,bIII,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,20,Bm7,II,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
swing_51,A,teal,21,E9,V,dominant,pink,0.94,dominant chord invites tension / superimposed color | direct V→I cadence makes pink tension especially useful
swing_51,A,teal,22,A7,I,tonic,teal,0.92,tonic stability supports teal extension framing and melodic climbing | post-cadential tonic is a strong teal arrival zone
swing_51,A,teal,23,A11,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
swing_51,A,teal,24,A7,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
